trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.001, 'e': 0.9954908927552453}",20,0,-110.22309206178794,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.001, 'e': 0.9953955378570153}",25,0,-68.43543312086355,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.001, 'e': 0.9952991875633305}",20,0,-13.489455262645361,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.001, 'e': 0.995201841970541}",20,0,-84.55152806947719,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9951035011759926}",25,0,-124.50752479441694,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9950041652780258}",25,0,-159.14716135368212,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
101,False,"{'a': 0.001, 'e': 0.9949038343759766}",20,0,-86.07527348659399,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.001, 'e': 0.994802508570176}",25,12,-62.04985421725391,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 1}",1
103,False,"{'a': 0.001, 'e': 0.9947001879619498}",20,11,-48.76185037172106,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.001, 'e': 0.9945968726536185}",25,0,-156.94295879547929,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 3}",0
105,False,"{'a': 0.001, 'e': 0.9944925627484974}",20,0,-15.792930669726053,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
106,False,"{'a': 0.001, 'e': 0.9943872583508965}",20,0,-239.86502984185344,"{0: 8, 1: 4, 2: 3, 3: 0, 4: 5}",0
107,False,"{'a': 0.001, 'e': 0.9942809595661201}",30,0,-236.995231275869,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 5}",0
108,False,"{'a': 0.001, 'e': 0.9941736665004669}",30,0,-95.03955821170766,"{0: 17, 1: 8, 2: 3, 3: 2, 4: 0}",0
109,False,"{'a': 0.001, 'e': 0.9940653792612301}",25,0,-106.62794546446403,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
110,False,"{'a': 0.001, 'e': 0.9939560979566968}",25,0,-111.68532735504037,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
111,False,"{'a': 0.001, 'e': 0.9938458226961485}",30,1,-168.26646107023086,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 3}",1
112,False,"{'a': 0.001, 'e': 0.9937345535898603}",25,0,-114.91806217917036,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
113,False,"{'a': 0.001, 'e': 0.9936222907491012}",25,0,-148.11899113447453,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
114,False,"{'a': 0.001, 'e': 0.9935090342861342}",25,0,-146.54190620015814,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
115,False,"{'a': 0.001, 'e': 0.9933947843142158}",20,0,-155.47666045003666,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
116,False,"{'a': 0.001, 'e': 0.9932795409475959}",30,0,-113.64109899266954,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
117,False,"{'a': 0.001, 'e': 0.9931633043015177}",20,6,-113.85557207837306,"{0: 5, 1: 5, 2: 2, 3: 0, 4: 2}",1
118,False,"{'a': 0.001, 'e': 0.993046074492218}",25,0,-210.13983090200702,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
119,False,"{'a': 0.001, 'e': 0.9929278516369265}",20,0,-126.47799939735575,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
120,False,"{'a': 0.001, 'e': 0.9928086358538663}",20,0,-118.98598393981236,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.9926884272622528}",30,0,-130.78060407095438,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
122,False,"{'a': 0.001, 'e': 0.9925672259822949}",20,0,-105.97110372283073,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
123,False,"{'a': 0.001, 'e': 0.9924450321351935}",30,0,-217.06468346100883,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
124,False,"{'a': 0.001, 'e': 0.9923218458431429}",20,0,-110.6646257151117,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
125,False,"{'a': 0.001, 'e': 0.992197667229329}",20,0,-128.8624309089546,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
126,False,"{'a': 0.001, 'e': 0.9920724964179307}",20,0,-122.0249204947944,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
127,False,"{'a': 0.001, 'e': 0.9919463335341185}",20,0,-126.34033833336517,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.001, 'e': 0.9918191787040556}",20,2,-64.66526507233534,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
129,False,"{'a': 0.001, 'e': 0.9916910320548965}",25,0,-173.8602342238397,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
130,False,"{'a': 0.001, 'e': 0.9915618937147881}",20,0,-87.70105309001947,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 0.001, 'e': 0.9914317638128685}",20,0,-29.437343088076766,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.9913006424792677}",20,0,-36.42658745417012,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.001, 'e': 0.9911685298451072}",20,0,-69.04957290835057,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
134,False,"{'a': 0.001, 'e': 0.9910354260424993}",25,0,-246.98981525622952,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 6}",0
135,False,"{'a': 0.001, 'e': 0.9909013312045479}",20,0,-79.78099676605956,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
136,False,"{'a': 0.001, 'e': 0.990766245465348}",20,0,-26.67480640672906,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.9906301689599851}",25,11,-61.37287062627096,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
138,False,"{'a': 0.001, 'e': 0.9904931018245359}",20,0,-109.8708458527839,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
139,False,"{'a': 0.001, 'e': 0.9903550441960673}",20,0,-136.0608840098778,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
140,False,"{'a': 0.001, 'e': 0.9902159962126371}",25,0,-85.88992636056585,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
141,False,"{'a': 0.001, 'e': 0.9900759580132933}",30,0,-138.37031214710024,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
142,False,"{'a': 0.001, 'e': 0.9899349297380738}",30,0,-173.29249507160492,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
143,False,"{'a': 0.001, 'e': 0.9897929115280072}",25,0,-231.36614464611586,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
144,False,"{'a': 0.001, 'e': 0.9896499035251115}",25,0,-128.4228644163617,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
145,False,"{'a': 0.001, 'e': 0.9895059058723947}",25,0,-182.76107578736125,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
146,False,"{'a': 0.001, 'e': 0.9893609187138546}",20,0,-95.7656358468331,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
147,False,"{'a': 0.001, 'e': 0.9892149421944781}",20,0,-73.06272030783848,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.001, 'e': 0.989067976460242}",25,0,-153.6821388543364,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
149,False,"{'a': 0.001, 'e': 0.9889200216581118}",30,8,-22.206371509795982,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
150,False,"{'a': 0.001, 'e': 0.9887710779360422}",20,0,-101.64411273599211,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.001, 'e': 0.9886211454429773}",20,0,-76.4733170728536,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.001, 'e': 0.9884702243288492}",25,9,-55.380710762945945,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 1}",1
153,False,"{'a': 0.001, 'e': 0.9883183147445792}",20,2,-124.16238540912828,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
154,False,"{'a': 0.001, 'e': 0.9881654168420767}",20,0,-46.628204569862156,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.001, 'e': 0.9880115307742399}",25,0,-167.41081219366504,"{0: 11, 1: 6, 2: 3, 3: 4, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.9878566566949545}",30,0,-184.66644823562137,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
